id;name;price;description;picture;picture_content_type;specification;specification_content_type;category;inventory
1;mobile Fish;77969;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Tablet;9997
2;Trace;33370;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Tablet;5641
3;transmitter Implementation Electronics;99221;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Desktop;61165
4;Grocery Home;52477;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Phone;23277
5;Licensed Savings Account;38246;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Laptop;85994
6;Yuan Renminbi Centers;1326;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Accessory;1596
7;Public-key;24102;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Phone;83319
8;Salad;39106;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Desktop;75536
9;convergence;20794;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Phone;84228
10;Views e-enable Communications;72727;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;../data/blob/hipster.png;image/png;Desktop;96117
